Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Mark Bocek,loss,Frankie Edgar,0,6,0,0,"UFC 73: Stacked                                   Jul. 07, 2007",KO/TKO,1,4:55
Kyle Bochniak,loss,Sean Woodson,0,42,1,0,"UFC Fight Night: Reyes vs. Weidman                                   Oct. 18, 2019",U-DEC,3,5:00
Kyle Bochniak,loss,Hakeem Dawodu,0,42,2,0,"UFC 231: Holloway vs. Ortega                                   Dec. 08, 2018",S-DEC,3,5:00
Kyle Bochniak,loss,Zabit Magomedsharipov,0,43,0,0,"UFC 223: Khabib vs. Iaquinta                                   Apr. 07, 2018",U-DEC,3,5:00
Kyle Bochniak,win,Brandon Davis,0,33,3,0,"UFC 220: Miocic vs. Ngannou                                   Jan. 20, 2018",U-DEC,3,5:00
Kyle Bochniak,loss,Jeremy Kennedy,0,23,0,0,"UFC Fight Night: Weidman vs. Gastelum                                   Jul. 22, 2017",U-DEC,3,5:00
Kyle Bochniak,win,Enrique Barzola,0,41,1,0,"UFC on FOX: Maia vs. Condit                                   Aug. 27, 2016",S-DEC,3,5:00
Kyle Bochniak,loss,Charles Rosa,1,52,1,0,"UFC Fight Night: Dillashaw vs Cruz                                   Jan. 17, 2016",U-DEC,3,5:00
James Bochnovic,loss,Markus Perez,0,3,0,0,"UFC 224: Nunes vs. Pennington                                   May. 12, 2018",SUB,1,4:28
James Bochnovic,loss,Trevin Giles,0,5,0,0,"UFC 213: Romero vs. Whittaker                                   Jul. 08, 2017",KO/TKO,2,2:54
Jeremy Boczulak,loss,Jason Blackford,--,--,--,--,"Strikeforce Challengers 13                                   Jan. 07, 2011",SUB,2,1:54
Tim Boetsch,loss,Omari Akhmedov,0,41,0,0,"UFC Fight Night: Lewis vs. Dos Santos                                   Mar. 09, 2019",U-DEC,3,5:00
Tim Boetsch,loss,Antonio Carlos Junior,0,7,0,0,"UFC Fight Night: Poirier vs. Gaethje                                   Apr. 14, 2018",SUB,1,4:28
Tim Boetsch,win,Johny Hendricks,0,41,0,0,"UFC Fight Night: Chiesa vs. Lee                                   Jun. 25, 2017",KO/TKO,2,0:46
Tim Boetsch,loss,Jacare Souza,0,6,0,0,"UFC 208: Holm vs. De Randamie                                   Feb. 11, 2017",SUB,1,3:41
Tim Boetsch,win,Rafael Natal,1,14,0,0,"UFC 205: Alvarez vs McGregor                                   Nov. 12, 2016",KO/TKO,1,3:22
Tim Boetsch,win,Josh Samman,0,38,2,0,"UFC Fight Night: McDonald vs. Lineker                                   Jul. 13, 2016",KO/TKO,2,3:49
Tim Boetsch,loss,Ed Herman,0,27,0,0,"UFC Fight Night: Dillashaw vs Cruz                                   Jan. 17, 2016",KO/TKO,2,1:39
Tim Boetsch,loss,Dan Henderson,0,3,0,0,"UFC Fight Night: Boetsch vs Henderson                                   Jun. 06, 2015",KO/TKO,1,0:28
Tim Boetsch,loss,Thales Leites,1,26,0,0,"UFC 183: Silva vs Diaz                                   Jan. 31, 2015",SUB,2,3:45
Tim Boetsch,win,Brad Tavares,2,14,1,0,"UFC Fight Night: Bader vs Saint Preux                                   Aug. 16, 2014",KO/TKO,2,3:18
Tim Boetsch,loss,Luke Rockhold,0,1,0,0,"UFC 172: Jones vs Teixeira                                   Apr. 26, 2014",SUB,1,2:08
Tim Boetsch,win,CB Dollaway,0,41,0,3,"UFC 166: Velasquez vs Dos Santos 3                                   Oct. 19, 2013",S-DEC,3,5:00
Tim Boetsch,loss,Mark Munoz,0,23,1,3,"UFC 162: Silva vs Weidman                                   Jul. 06, 2013",U-DEC,3,5:00
Tim Boetsch,loss,Constantinos Philippou,1,25,2,0,"UFC 155: Dos Santos vs Velasquez II                                   Dec. 29, 2012",KO/TKO,3,2:11
Tim Boetsch,win,Hector Lombard,0,54,0,0,"UFC 149: Faber vs Barao                                   Jul. 21, 2012",S-DEC,3,5:00
Tim Boetsch,win,Yushin Okami,1,42,0,1,"UFC 144: Edgar vs Henderson                                   Feb. 25, 2012",KO/TKO,3,0:54
Tim Boetsch,win,Nick Ring,0,46,4,2,"UFC 135: Jones vs Rampage                                   Sep. 24, 2011",U-DEC,3,5:00
Tim Boetsch,win,Kendall Grove,0,17,7,0,"UFC 130: Rampage vs Hamill                                   May. 28, 2011",U-DEC,3,5:00
Tim Boetsch,loss,Phil Davis,0,7,0,1,"UFC 123: Rampage vs Machida                                   Nov. 20, 2010",SUB,2,2:55
