Fighter,W/L,Opponent,Knockdowns,Strikes,Takedowns,SubmissionAttempts,Event,Method,Round,Date
Donald Cerrone,win,Danny Castillo,0,1,0,1,"WEC 34: Faber vs. Pulver                                   Jun. 01, 2008",SUB,1,1:30
Donald Cerrone,nc,Kenneth Alexander,0,0,0,1,"WEC 30: McCullough vs. Crunkilton                                   Sep. 05, 2007",Overturned,1,0:56
Luan Chagas,loss,Siyar Bahadurzada,0,11,0,0,"UFC Fight Night: Barboza vs. Lee                                   Apr. 21, 2018",KO/TKO,2,2:40
Luan Chagas,win,Jim Wallhead,1,95,0,1,"UFC 212: Aldo vs. Holloway                                   Jun. 03, 2017",SUB,2,4:48
Luan Chagas,loss,Erick Silva,2,41,1,0,"UFC Fight Night: Cyborg vs. Lansberg                                   Sep. 24, 2016",SUB,3,3:57
Luan Chagas,draw,Sergio Moraes,1,46,0,0,"UFC 198: Werdum vs Miocic                                   May. 14, 2016",S-DEC,3,5:00
Edgar Chairez,win,CJ Vergara,0,8,0,1,"UFC Fight Night: Moreno vs. Erceg                                   Mar. 29, 2025",SUB,1,2:30
Edgar Chairez,loss,Joshua Van,0,79,0,1,"UFC 306: Riyadh Season Noche UFC                                   Sep. 14, 2024",U-DEC,3,5:00
Edgar Chairez,win,Daniel Lacerda,0,9,0,1,"UFC Fight Night: Moreno vs. Royval 2                                   Feb. 24, 2024",SUB,1,2:17
Edgar Chairez,nc,Daniel Lacerda,0,12,0,1,"UFC Fight Night: Grasso vs. Shevchenko 2                                   Sep. 16, 2023",Overturned,1,3:47
Edgar Chairez,loss,Tatsuro Taira,1,25,0,2,"UFC 290: Volkanovski vs. Rodriguez                                   Jul. 08, 2023",U-DEC,3,5:00
Edgar Chairez,loss,Clayton Carpenter,0,51,0,0,"DWCS 6.3                                   Aug. 09, 2022",U-DEC,3,5:00
Ansar Chalangov,loss,Josh Koscheck,0,2,0,1,"UFC Fight Night 4                                   Apr. 06, 2006",SUB,1,3:29
Ansar Chalangov,loss,Thiago Alves,0,2,0,2,"UFC 56: Full Force                                   Nov. 19, 2005",KO/TKO,1,2:25
Alex Chambers,loss,Livinha Souza,0,4,0,0,"UFC Fight Night: Marreta vs. Anders                                   Sep. 22, 2018",SUB,1,1:21
Alex Chambers,loss,Nadia Kassem,0,45,4,0,"UFC Fight Night: Werdum vs. Tybura                                   Nov. 18, 2017",U-DEC,3,5:00
Alex Chambers,loss,Paige VanZant,0,30,0,1,"UFC 191: Johnson vs Dodson 2                                   Sep. 05, 2015",SUB,3,1:01
Alex Chambers,win,Kailin Curran,0,44,2,2,"UFC Fight Night: Miocic vs Hunt                                   May. 09, 2015",SUB,3,3:15
Alex Chambers,loss,Aisling Daly,0,12,1,0,"The Ultimate Fighter: A Champion Will Be Crowned Finale                                   Dec. 12, 2014",SUB,1,4:53
Michael Chandler,loss,Paddy Pimblett,0,11,4,0,"UFC 314: Volkanovski vs. Lopes                                   Apr. 12, 2025",KO/TKO,3,3:07
Michael Chandler,loss,Charles Oliveira,0,84,0,0,"UFC 309: Jones vs. Miocic                                   Nov. 16, 2024",U-DEC,5,5:00
Michael Chandler,loss,Dustin Poirier,0,43,3,0,"UFC 281: Adesanya vs. Pereira                                   Nov. 12, 2022",SUB,3,2:00
Michael Chandler,win,Tony Ferguson,1,27,1,0,"UFC 274: Oliveira vs. Gaethje                                   May. 07, 2022",KO/TKO,2,0:17
Michael Chandler,loss,Justin Gaethje,0,103,1,0,"UFC 268: Usman vs. Covington 2                                   Nov. 06, 2021",U-DEC,3,5:00
Michael Chandler,loss,Charles Oliveira,0,30,0,1,"UFC 262: Oliveira vs. Chandler                                    May. 15, 2021",KO/TKO,2,0:19
Michael Chandler,win,Dan Hooker,1,17,0,0,"UFC 257: Poirier vs. McGregor                                   Jan. 23, 2021",KO/TKO,1,2:30
Michael Chandler,win,Salvador Woods,--,--,--,--,"Strikeforce - Heavy Artillery                                   May. 15, 2010",SUB,1,0:59
Michael Chandler,win,Rich Bouphanouvong,--,--,--,--,"Strikeforce Challengers 5                                   Nov. 20, 2009",KO/TKO,2,2:07
Chelsea Chandler,loss,Joselyne Edwards,0,10,0,0,"UFC Fight Night: Machado Garry vs. Prates                                   Apr. 26, 2025",KO/TKO,1,2:31
Chelsea Chandler,loss,Yana Santos,0,56,0,0,"UFC Fight Night: Tybura vs. Spivac 2                                   Aug. 10, 2024",U-DEC,3,5:00
Chelsea Chandler,win,Josiane Nunes,0,58,2,0,"UFC Fight Night: Tuivasa vs. Tybura                                   Mar. 16, 2024",U-DEC,3,5:00
Chelsea Chandler,loss,Norma Dumont,0,22,1,0,"UFC Fight Night: Holm vs. Bueno Silva                                   Jul. 15, 2023",U-DEC,3,5:00
Chelsea Chandler,win,Julija Stoliarenko,0,38,0,0,"UFC Fight Night: Dern vs. Yan                                   Oct. 01, 2022",KO/TKO,1,4:15
Donnie Chappell,loss,Tony Fryklund,0,0,0,0,"UFC 14: Showdown                                   Jul. 27, 1997",SUB,1,1:31
Joe Charles,loss,Vitor Belfort,0,1,0,0,"UFC - Ultimate Japan                                   Dec. 21, 1997",SUB,1,4:03
Joe Charles,win,Scott Bessac,--,--,--,--,"UFC - Ultimate Ultimate '95                                   Dec. 16, 1995",SUB,1,4:38
Joe Charles,loss,Dan Severn,0,1,0,0,"UFC 5: The Return of the Beast                                   Apr. 07, 1995",SUB,1,1:38
Joe Charles,win,Kevin Rosier,--,--,--,--,"UFC 4: Revenge of the Warriors                                   Dec. 16, 1994",SUB,1,0:14
Morgan Charriere,loss,Nathaniel Wood,0,42,1,0,"UFC Fight Night: Edwards vs. Brady                                   Mar. 22, 2025",U-DEC,3,5:00
Morgan Charriere,win,Gabriel Miranda,1,19,2,0,"UFC Fight Night: Moicano vs. Saint Denis                                   Sep. 28, 2024",KO/TKO,2,0:27
Morgan Charriere,loss,Chepe Mariscal,0,49,2,1,"UFC Fight Night: Allen vs. Curtis 2                                   Apr. 06, 2024",S-DEC,3,5:00
Morgan Charriere,win,Manolo Zecchini,1,26,0,0,"UFC Fight Night: Gane vs. Spivac                                   Sep. 02, 2023",KO/TKO,1,3:51
Ernest Chavez,loss,Zubaira Tukhugov,0,12,0,0,"UFC Fight Night: Nelson vs Story                                   Oct. 04, 2014",KO/TKO,1,4:21
Ernest Chavez,loss,Elias Silverio,0,54,0,0,"UFC Fight Night: Miocic vs Maldonado                                   May. 31, 2014",SUB,3,4:21
Ernest Chavez,win,Yosdenis Cedeno,0,28,2,0,"UFC 170: Rousey vs McMann                                   Feb. 22, 2014",S-DEC,3,5:00
